[2025-09-01 15:04:27,472] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 15:04:43,920] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 15:04:53,523] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 15:04:55,086] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 15:05:50,177] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 15:05:51,281] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 15:06:01,200] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 15:06:02,092] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 15:06:05,856] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 15:06:38,044] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 15:06:39,264] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
